,Autor(es),Título,GT,Evento,Ano,Link do Arquivo
22,Débora Ribeiro Chaves,"Educação Ambiental Na Escola Municipal Cabula I: Processos De Valorização, Mobilização E Articulação Entre Escola, Comunidade E Instituições Públicas Em Prol Do Horto Florestal Do Cabula",GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_1060.pdf
23,"Gerson Luiz Buczenko, Maria Arlete Rosa",Educação Ambiental Crítica E Educação Do Campo: Caminhos Em Comum,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_516.pdf
24,Helder Sarmento Ferreira,A Análise Do Discuso Pedagógico Da Dialogicidade Na Experiência Com Outras Epistemologias: Demandas De Uma Educação Ambiental Crítica,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_679.pdf
25,Silvio Gallo,Teoria e Ação nas pesquisas em Educação Ambiental: partilhando suspeitas epistemológicas do GT 22 da ANPEd,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_679.pdf
26,Fernanda Freitas Rezende Rodrigues,Cartografia Da Ideia De Cultura: Narrativas E Resistências De Uma Comunidade,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_1088.pdf
27,"Simone Grohs Freire, Vanessa Hernandez Caporlingua",A Educação Ambiental E O Direito: Imbricações Necessárias Para Ressignificar A Dignidade Para Todas As Formas De Vida,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_115.pdf
28,Denize Mezadri de Almeida,Contextosproduções Em Coletivos Da Docência: Sentidos Congruentes Com Os Territórios Do Meio Ambiente Local,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_460.pdf
29,"Daniele Saheb, Daniela Gureski Rodrigues",A Educação Ambiental Nos Anos Iniciais Do Ensino Fundamental Na Voz De Seus Professores,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_1270.pdf
30,"Alessandra Alexandre Freixo, João Paulo dos Santos Silva",Diálogos Entre Imagens E Narrativas: Construindo Mosaicos De Natureza Em Dois Contextos Socioculturais Da Bahia,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_276.pdf
31,Debora Gisele Graudo dos Santos,(Re)Pensando O Ambiente Educativo A Partir Da Biologia Do Conhecer E Do Amor: Por Uma Educação Ambiental Emancipatória,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT22_100.pdf
32,Marcio Fernando Duarte Pinheiro,Educação Ambiental E Currículo: Um Estudo Em Uma Escola Municipal De Tracuateua - Pa.,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_1032.pdf
33,Gabriele Nigra Salgado,"Oposições Assimétricas Nas Ideias De Natureza E Educação ""alternativa""",GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_125.pdf
34,Rosinei Ronconi Vieiras,Resistências E Relações De Poder Na Produção Cotidiana Da Educação Ambiental: Uma Problematização Atravessada Pelo Crime Socioambiental Na Bacia Do Rio Doce,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_709.pdf
35,Marcielly Cristina Moresco,O Corpo “Fala” Politicamente: As Performatividades Das/nas Ocupações Secundaristas Do Paraná,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_940.pdf
36,"Renata Aparecida Carbone Mizusaki, Cleomar Ferreira Gomes","Experiências De Identidades De Gênero: Corpo Brincante Em Espaços Institucionais – Entre Brinquedos, Brincadeiras E Outras Habitações Lúdicas","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_827.pdf
37,Dayana Brunetto Carlin dos Santos,Docências Trans* : Entre A Decência E A Abjeção,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_896.pdf
38,Marcos Vinicius Pereira Monteiro,"O Ataque À Discussão De Gênero Na Escola, Construção Identitária E A Importância Da Liberdade Docente.","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_269.pdf
39,"Renata Porcher Scherer, Maria Cláudia Daligna","Amor, Cuidado E Competência: Um Olhar De Gênero Sobre A Profissionalização Do Trabalho Docente","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_173.pdf
40,Angelica Silvana Pereira,"Barbie, Max Steel E Os Heróis Que Estão Em Você: Consumo E Pedagogias De Gênero Na Produção Da Criança Em Tempos De (In)Tolerância","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_1140.pdf
41,Sirlene Mota Pinheiro da Silva,Decifra-Me! Não Me Devore! Gênero E Sexualidade Nas Tramas Das Lembranças,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_361.pdf
42,"Paulo Melgaço da Silva Junior, Ana Ivenicki","Autorrepresentações E Subalternidades: Familías, Racialidades E Masculinidades Na Escola","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_160.pdf
43,Sandro Prado Santos,Transexperiências: Ressonâncias Para O Ensino De Biologia Na Escola,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT23_1176.pdf
44,Roney Polato de Castro,"Pedagogias Religiosas No Combate À ""ideologia De Gênero"": Efeitos De Saber-Poder-Verdade","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_995.pdf
45,Fernando Seffner,Proposições educacionais em gênero-sexualidade e pluralismo democrático: desafios teóricos e políticos contemporâneos no contexto brasileiro,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/minicurso_ementa_38anped_2017_GT23.pdf
46,"Francisca Jocineide da Costa E Silva, Adenilda Bertoldo Alves de Morais",“Coisas De Meninos E Coisas De Meninas”: A Produção Do Curso Gênero E Diversidade Na Escola Sobre Educação Infantil,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_937.pdf
47,Carolina Langnor E Sousa Lisboa,Os Efeitos Do Pânico Moral Sobre O Movimento Feminista: Ecos Em Direção À Agenda Conservadora,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_877.pdf
48,"Fernando Altair Pocahy, Priscila Gomes Dornelles","Gênero, Sexualidade E Envelhecimento: Uma Abordagem Pós-Crítica Na Educação","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_839.pdf
49,Caterine de Moura Brachtvogel,A Cultura Do Fitness Nos Memes: Uma Performance De Gênero – Entre Tradição E Inovação,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_1160.pdf
50,"Lisiane Goettems, Maria Simone Vione Schwengber, Rudião Rafael Wisniewski",As Diversidades Sexuais Na Escola: (In)Junções Discursivas Entre A Religião E O Estado Laico,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_656.pdf
51,"Eunice Lea de Moraes, Lúcia Isabel da Conceição Silva",Políticas Para Mulheres E Os Desafios Da Institucionalidade,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_433.pdf
52,Samuel da Silva Souza,Violência Sexual Contra Meninos Em Uma Cidade Do Interior Do Brasil (2006 – 2015),"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT23_740.pdf
53,Felipe Bastos,As Distâncias Sociais Entre Escola E Sujeitos Homossexuais E Sua Interferência Na Percepção De Homofobia,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_1171.pdf
54,Edwana Nauar de Almeida,"Corpos Escalpelados Na Escola: Entre Marcas Físicas, Sociais E Escolares.","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_735.pdf
55,Adriane Raquel Santana de Lima,Educação Para Mulheres Na América Latina: Uma Análise Decolonial Dos Escritos De Nísia Floresta E Soledad Acosta De Samper,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_858.pdf
56,Rogério Diniz Junqueira,A ideologia de gênero e seus desdobramentos na educação brasileira,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_858.pdf
57,Joyce Otânia Seixas Ribeiro,A Produção Generificada Do Brinquedo De Miriti: Espaço Para O Re-Existir Por Meio Da Pedagogia Decolonial,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_213.pdf
58,Tiago Duque,"Da Importância De Rir Com Inês Brasil: Educação, Pânico Moral E “Ideologia De Gênero”","GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_599.pdf
59,Jasmine Moreira,Impactos Da ‘Ideologia De Gênero’ Na Geração De Políticas Educacionais Para A População Lgbt,"GT23 - Gênero, Sexualidade e Educação",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT23_674.pdf
60,"Ana Cristina de Moraes, Francisco Mirtiel Frankson Moura Castro","Por Uma Estetização Da Escrita Acadêmica: Poemas, Cartas E Diários Envoltos Em Intenções Pedagógicas",GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_51.pdf
61,Sandra Corazza,"Didática, docência e criação",GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_51.pdf
62,Jonei Cerqueira Barbosa,Abordagens teóricas e metodológicas na Educação Matemática: aproximações e distanciamentos,GT19 - Educação Matemática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalhoencom_38anped_2017_gt19_jonei_cerqueira_barbosa.pdf
63,Arianny Grasielly Baião Malaquias,Tecnologias De Informação E De Comunicação Na Formação Do Professor De Matemática,GT19 - Educação Matemática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT19_903.pdf
64,"Ailton Paulo de Oliveira Júnior, Edmeire Aparecida Fontana",Avaliação de Questões de Estatística do Nono ano do Ensino Fundamental do Saeb e a Resolução de Problemas Segundo o Documento Gaise,GT19 - Educação Matemática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT19_267.pdf
65,"Margareth Aparecida Sacramento Rotondo, Giovani Cammarota Gomes",Fabulação Concreto-Abstrato: No Entre Das Políticas Cognitivas,GT19 - Educação Matemática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT19_920.pdf
66,Rosely Ribeiro Lima,Representações Sociais De Professoras E De Alunos Acerca Do Ensino Da Língua Portuguesa: Um Estudo Comparativo,GT20 - Psicologia da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT20_1344.pdf
67,"Luciana da Silva de Oliveira, Maria de Fátima Cardoso Gomes","Vivências, Afecções E Constituição Do Humano: Um Diálogo Com A Creche",GT20 - Psicologia da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT20_1044.pdf
68,Lígia Márcia Martins,O sofrimento psíquico do professor em um contexto de mercantilização da educação,GT20 - Psicologia da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT20_1044.pdf
69,"Marinalva Lopes Ribeiro, Daniela Cristina Ribeiro de Lima","Entre Uma Profusão De Sentidos, A Profissão De Professor Universitário Se Constitui",GT20 - Psicologia da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT20_592.pdf
70,Ione da Silva Jovino,Personagens Negras Na Literatura Infantil Brasileira De 1980 A 2000: Revisitando O Tema,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_696.pdf
71,"Maria da Conceiçao dos Reis, Ellis Cristine Oliveira Alves, Auxiliadora Maria Martins da Silva",O Processo Educativo Do Movimento Social Encrespa Geral Para Afirmação Da Identidade Negra,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_789.pdf
72,Liliam Teresa Martins Freitas,"Crianças Negras, Currículo Branco Na Educação Infantil Em Codó-Ma",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_984.pdf
73,"Jose Eustáquio de Brito, Agda Marina Ferreira Moreira",Contribuições Dos Processos Educativos Presentes Em Uma Comunidade Remanescente De Quilombo Para A Construção De Uma Educação Escolar Quilombola,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_924.pdf
74,Erisvaldo Pereira dos Santos,Aportes De “La Philosophie Bantoue” E A Sua Relação Com A Concepção De Axé Das Religiões Brasileiras De Matrizes Africanas: Questões Para A Educação Das Relações Étnico-Raciais,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_637.pdf
75,,"O bem viver da educação: o que dizem indígenas, negros e ciganos Gersem José dos Santos Luciano (Gersem Baniwa) – UFAM",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_637.pdf
76,"Paulo Alberto dos Santos Vieira, Ana Paula Barbosa","Cotas Para Negros Em Universidades No Brasil: Questões De Raça, Mérito E Qualidade Na Educação Pública",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1158.pdf
77,Débora Cristina de Araujo,"Racismo, Poder E Legitimação: Os Discursos Sobre Diversidade Étnico-Racial Na Gestão Do Programa Nacional De Biblioteca Da Escola (Pnbe)",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_24.pdf
78,Lygia de Oliveira Fernandes,A Voz E O Silêncio Na Produção De Conhecimentos: Reflexões A Partir Do Projeto Encontro De Saberes Da/na UFF,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1034.pdf
79,"Ana Cristina Juvenal da Cruz, Fabiana Luci de Oliveira, Tatiane Cosentino Rodrigues",Formação Para A Docência E A Prática Pedagógica: Implicações Teóricas E Metodológicas A Partir De Um Curso Para Educação Das Relações Étnico-Raciais,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1141.pdf
80,"Silvia Maria Amorim Lima, Daniele Graciane de Souza",Do Desenvolvimento Da Cidadania À Garantia Da Justiça Social Na Conquista Do Acesso Aos Estudantes Negros Na Universidade Federal Do Paraná,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_430.pdf
81,Kalyla Maroun,"Educação Do Corpo, Instituições Escolares E Relações Étnico-Raciais",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT21_739.pdf
82,Andrio Alves Gatinho,Práticas Do Ensino De História E Cultura Afro-Brasileira E Africana Em Escolas Públicas Do Acre,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_524.pdf
83,Thaís Regina de Carvalho,Educação Das Relações Étnico-Raciais E Políticas De Formação Continuada De Professores/as Da Educação Infantil: Experiências De Florianópolis/sc,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_219.pdf
84,"Viviane da Silva Almeida, Ahyas Siss","“Eu Mereço Que Você Venha Me Entrevistar, Como Uma Excepcionalidade, Demonstra Que Alguma Coisa Acontece...”: Discursos Simbólicos Entre O Privilégio De Ser Branco E O Racismo",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_418.pdf
85,Ivone Jesus Alexandre,“Aquela Preta Não É Minha Amiga!”: Interações E Socialização De Crianças Haitianas Nas Escolas De Educação Infantil Em Sinop/mt.,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1298.pdf
86,José Mendes Fonteles Filho,"Interculturalidade, Inclusão E Inovação Na Formação De Professores Indígenas No Nordeste Do Brasil",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1128.pdf
87,"Shirley Aparecida de Miranda, Susy Rocío Contento Lozano",Quilombos E Palenques: Aproximações Entre Educação E Tradução Intercultural,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1004.pdf
88,Deise Guilhermina da Conceição,O Impacto Dos Cursos De Graduação Da Uff Na Mobilidade Social Dos Negros,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1113.pdf
89,"José Bonifácio Alves da Silva, José Licínio Backes","Os Negros, Indígenas E Brancos Representados No Currículo De Um Curso De Licenciatura Em História",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_186.pdf
90,"Raquel Amorim dos Santos, Rosângela Maria de Nazaré Barbosa E Silva","Estado Da Arte, Política Curricular E Relações Raciais: As Pesquisas Nas Produções Da Anped (2000-2015)",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_992.pdf
91,Mônica Andréa Oliveira Almeida,Ações Afirmativas Na Educação Básica Em Uma Escola De Excelência,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_826.pdf
92,"Conceição Gislane Nóbrega Lima de Salles, Sandro Guimarães de Salles, Maria da Penha da Silva",A Temática Indígena Nas Práticas Docentes Das Escolas Municipais De Pesqueira/pe: Um Estudo Nos Anos Inciais Do Ensino Fundamental,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_1068.pdf
93,Adriano Souza Senkevics,De Brancos Para Negros? Uma Análise Longitudinal Da Reclassificação Racial No Enem 2010-2014,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_50.pdf
94,"José Valdinei Albuquerque Miranda, Neusiane de Nazaré Coelho de Melo","O Corpo Afrorreligioso Entre Simbologias, Saberes Culturais E Ancestralidades",GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_568.pdf
95,Tânia Mara Pedroso Müller,Elaboração de artigos e preparação para publicações em periódicos: o diálogo com a temática étnico-racial,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/minicurso_ementa_38anped_2017_GT21.pdf
96,Thaís Janaina Wenczenovicz,Educação Escolar Indígena: Reflexões E Conflitos Contemporâneos À Luz Do Brasil,GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_471.pdf
97,Luka de Carvalho Gusmão,Reflexões Sobre Diferenças E Educação A Partir Da Filosofia De Henri Bergson,GT17 - Filosofia da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT17_1274.pdf
